기준연도,구분,한육우,한우,육우,젖소,돼지,재래돼지,닭,재래닭,마필,제주마,염소,면양,사슴,토끼,개,오리,칠면조,거위,메추리,꿀벌(군),관상조,타조,오소리,꿩,지렁이,기러기,비고,데이터기준일자
2019,호수,761,747,,31,268,114,167,64,919,0,31,6,20,11,21003,15,1,6,1,515,10,4,4,5,2,4,값이 0이면 미조사,2024/02/13
2019,두수,,34064,1273,3939,551168,137426,1810610,58020,14981,3722,6558,97,585,1039,44884,31389,3,139,100000,80389,1641,12,168,11750,9756,54,값이 0이면 미조사,2024/02/13
2020,호수,735,707,,31,260,91,172,52,962,0,36,7,22,9,22316,14,2,6,1,521,8,5,4,5,3,4,값이 0이면 미조사,2024/02/13
2020,두수,,34714,1129,3946,523450,131531,1871784,37872,14790,3956,4050,106,605,872,45821,31200,5,252,100000,80803,1706,13,133,13050,9954,54,값이 0이면 미조사,2024/02/13
2021,호수,726,708,,30,259,90,146,58,962,0,38,6,21,9,47,10,3,6,1,514,9,3,4,5,1,5,값이 0이면 미조사,2024/02/13
2021,두수,36806,35658,1148,3757,547820,116282,1913918,96391,14790,4557,3832,102,561,1096,17907,635,9,233,100000,78767,1658,11,134,12580,9594,59,값이 0이면 미조사,2024/02/13
2022,호수,681,662,19,30,257,93,101,24,981,0,40,6,18,7,36,6,3,6,1,481,8,3,3,5,0,5,값이 0이면 미조사,2024/02/13
2022,두수,38897,37750,1147,3773,529771,104253,1808155,142679,15038,4557,3281,64,556,924,16487,2217,16,187,100000,71927,1812,9,131,5880,0,49,값이 0이면 미조사,2024/02/13
2023,호수,657,645,12,31,257,92,97,24,0,0,41,7,17,8,35,3,3,5,1,0,8,4,3,5,1,5,값이 0이면 미조사,2024/02/13
2023,두수,40054,38978,1076,3972,543540,113355,1816131,134992,0,0,3734,125,341,974,14498,132,6,183,95000,0,1840,12,131,4825,196,65,값이 0이면 미조사,2024/02/13